,Rodada,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
0,1,São Paulo FC,Sport Recife,0,0,16,8,11,4,1,3,6,2,20,16,17,21,1,2
1,1,Cruzeiro EC,Mirassol FC,2,1,8,16,5,5,5,0,2,6,20,18,18,21,1,2
2,1,Grêmio FBPA,Atlético Mineiro,2,1,12,22,4,5,6,3,1,11,5,17,19,5,1,4
3,1,Fortaleza EC,Fluminense FC,2,0,5,15,2,9,1,1,4,5,5,15,16,5,4,1
4,1,EC Juventude,EC Vitória,2,0,9,14,3,3,5,2,3,5,16,16,16,16,0,0
5,1,CR Flamengo,SC Internacional,1,1,19,5,11,1,0,4,4,2,16,10,10,17,5,1
6,1,SE Palmeiras,Botafogo FR,0,0,13,13,6,5,5,3,2,2,22,17,18,22,1,0
7,1,CR Vasco da Gama,Santos FC,2,1,12,11,6,5,1,3,2,3,11,11,11,12,1,0
8,1,EC Bahia,SC Corinthians,1,1,14,9,6,3,3,4,3,5,15,15,16,15,1,1
9,1,RB Bragantino,Ceará SC,2,2,18,13,6,6,4,5,9,2,13,13,14,13,2,1
10,2,SC Corinthians,CR Vasco da Gama,3,0,6,10,2,6,3,1,1,4,15,18,18,16,1,1
11,2,Ceará SC,Grêmio FBPA,2,0,12,12,5,5,3,4,3,10,16,7,9,18,3,3
12,2,Botafogo FR,EC Juventude,2,0,16,14,7,7,3,4,3,3,7,12,14,7,1,5
13,2,Fluminense FC,RB Bragantino,2,1,15,17,7,6,4,2,6,6,12,15,15,12,1,2
14,2,Atlético Mineiro,São Paulo FC,0,0,25,6,6,1,4,6,12,4,12,16,16,12,0,1
15,2,Mirassol FC,Fortaleza EC,1,1,20,7,9,2,2,4,8,1,12,12,15,12,5,3
16,2,SC Internacional,Cruzeiro EC,3,0,24,6,7,4,1,7,9,2,11,15,19,11,3,3
17,2,EC Vitória,CR Flamengo,1,2,5,14,1,5,5,2,2,6,16,7,7,17,3,0
18,2,Sport Recife,SE Palmeiras,1,2,9,7,2,3,2,1,6,3,19,16,17,21,1,0
